Parish,Town,Church Name,Classification,Status,Photo Count,No Photos,Slug,Latitude,Longitude
St. Elizabeth,Tryall,St. Paul's,church,active,0,YES,st-paul-s-tryall-st-elizabeth,17.887298,-77.630392
St. Elizabeth,Whitehall,Holy Trinity,church,active,6,,holy-trinity-whitehall-st-elizabeth,18.118408,-77.854383
St. James,Adelphi,Christ Church,church,active,1,,christ-church-adelphi-st-james,18.447645,-77.789607
St. James,Blue Hole,St. Leonard's,church,active,0,YES,st-leonard-s-blue-hole-st-james,18.4512,-77.9312
St. James,Cambridge,St. Stephen's,church,active,0,YES,st-stephen-s-cambridge-st-james,18.3143,-77.9018
St. James,Catadupa,St. Matthew's,church,active,4,,st-matthew-s-catadupa-st-james,18.280689,-77.874493
St. James,Chester Castle,All Saints',church,active,4,,all-saints-chester-castle-st-james,18.325724,-77.949521
St. James,Chichester,St. Saviour's,church,active,4,,st-saviour-s-chichester-st-james,18.325390,-78.009098
St. James,Coral Gardens,St. Augustine's,church,active,1,,st-augustine-s-coral-gardens-st-james,18.514455,-77.868749
St. James,Cornwall Mountain,St. Stephen's Mission,mission,active,0,YES,st-stephen-s-cornwall-mountain-st-james,18.286153,-77.986714
St. James,Glendevon,St. Francis',mission,active,1,,st-francis-glendevon-st-james,18.4512,-77.8923
St. James,Grace Hill,St. John's,church,active,0,YES,st-john-s-grace-hill-st-james,18.3724,-77.9193
St. James,Granville,Mary Magdalene,church,active,0,YES,mary-magdalene-granville-st-james,18.447441,-77.900644
St. James,Hopewell,St. Mark's,church,active,0,YES,st-mark-s-hopewell-st-james,18.25526,-77.88979
St. James,Montpelier,St. Mary's,church,active,11,,st-mary-s-montpelier-st-james,18.376146,-77.930284
St. James,Mount Salem,Holy Cross,church,active,0,YES,holy-cross-mount-salem-st-james,18.4412,-77.9312
St. James,Sam Sharpe Square,St. James Parish Church,parish_church,active,3,,st-james-parish-church-sam-sharpe-square-st-james,18.471942,-77.921647
St. James,Vaughnsfield,St. Luke's,church,active,0,YES,st-luke-s-vaughnsfield-st-james,18.3527,-77.82523
St. James,Westgate,Holy Trinity,church,active,1,,holy-trinity-westgate-st-james,18.462905,-77.913117
St. Mary,Albion Mountain,St. Alban's,church,active,0,YES,st-alban-s-albion-mountain-st-mary,18.37188,-76.91507
St. Mary,Annotto Bay,St. James',church,active,5,,st-james-annotto-bay-st-mary,18.27338,-76.76337
St. Mary,Belfield,St. Michael's,church,active,2,,st-michael-s-belfield-st-mary,18.26338,-76.83681
St. Mary,Bonny Gate,St. Luke's,church,active,0,YES,st-luke-s-bonny-gate-st-mary,18.32324,-76.94916
St. Mary,Boscobel,St. Matthew's,church,active,2,,st-matthew-s-boscobel-st-mary,18.40537,-76.97609
St. Mary,Bromley,St. Agatha's,church,active,0,YES,st-agatha-s-bromley-st-mary,18.27120,-76.88230
St. Mary,Clifton Lodge,St. Margaret's,church,active,0,YES,st-margaret-s-clifton-lodge-st-mary,18.38230,-76.92120
St. Mary,Devon Pen,St. Patrick's,church,active,0,YES,st-patrick-s-devon-pen-st-mary,18.21561,-76.82440
St. Mary,Enfield,St. Barnabas',church,active,1,,st-barnabas-enfield-st-mary,18.20638,-76.73025
St. Mary,Galina,St. Peter's,church,active,0,YES,st-peter-s-galina-st-mary,18.40473,-76.89371
St. Mary,Gayle,St. John's,church,active,0,YES,st-john-s-gayle-st-mary,18.32794,-77.00726
St. Mary,Highgate,St. Cyprian's,church,active,0,YES,st-cyprian-s-highgate-st-mary,18.27328,-76.89139
St. Mary,Labyrinth,St. Andrew's,church,active,0,YES,st-andrew-s-labyrinth-st-mary,18.33690,-77.02287
St. Mary,Long Road,St. Margaret's,church,active,0,YES,st-margaret-s-long-road-st-mary,18.25120,-76.77120
St. Mary,Martin,St. Martin's,church,active,0,YES,st-martin-s-martin-st-mary,18.26230,-76.99230
St. Mary,Mason Hall,St. Elizabeth's,church,active,0,YES,st-elizabeth-s-mason-hall-st-mary,18.39590,-76.90906
St. Mary,Port Maria,St. Mary (Parish Church),parish_church,active,7,,st-mary-parish-church-port-maria-st-mary,18.37369,-76.89333
St. Mary,Retreat,Holy Trinity,church,active,0,YES,holy-trinity-retreat-st-mary,18.38846,-77.02108
St. Mary,Richmond,Church of the Epiphany,church,active,0,YES,church-of-the-epiphany-richmond-st-mary,18.25478,-76.88799
St. Mary,Rio Nuevo,St. Mary's Church (Old),church,ruin,0,YES,st-mary-s-church-old-rio-nuevo-st-mary,18.40980,-76.89340
St. Mary,Scott's Hall,St. Mark's,church,active,0,YES,st-mark-s-scott-s-hall-st-mary,18.19080,-76.83940
St. Mary,Woodside,St. Gabriel's,church,active,0,YES,st-gabriel-s-woodside-st-mary,18.25505,-76.93391
St. Thomas,Bath,St. Thomas',church,active,1,,st-thomas-bath-st-thomas,17.94777,-76.34837
St. Thomas,Bull Bay,St. Martin's Mission,mission,active,0,YES,st-martin-s-mission-bull-bay-st-thomas,17.94272,-76.65744
St. Thomas,Danvers Pen,St. Paul's,church,active,0,YES,st-paul-s-danvers-pen-st-thomas,17.93093,-76.47511
St. Thomas,Golden Grove,St. Andrew's,church,active,0,YES,st-andrew-s-golden-grove-st-thomas,17.92379,-76.26882
St. Thomas,Leith Hall,St. John's Church (Old),church,ruin,0,YES,st-john-s-church-old-leith-hall-st-thomas,17.87464,-76.33937
St. Thomas,Middleton,St. Matthias',church,active,0,YES,st-matthias-middleton-st-thomas,17.93970,-76.43560
St. Thomas,Morant Bay,Christ Church,parish_church,active,3,,christ-church-morant-bay-st-thomas,17.88114,-76.40884
St. Thomas,Mt. Felix,St. Augustine's,church,active,0,YES,st-augustine-s-mt-felix-st-thomas,17.95726,-76.39963
St. Thomas,Port Morant,St. Barnabas',church,active,1,,st-barnabas-port-morant-st-thomas,17.89950,-76.34290
St. Thomas,The Abbey,All Saints',church,active,0,YES,all-saints-the-abbey-st-thomas,17.97120,-76.47120
St. Thomas,Thornton,St. Stephen's,church,active,0,YES,st-stephen-s-thornton-st-thomas,17.95102,-76.40178
St. Thomas,Trinityville,Church of the Holy Trinity,church,active,0,YES,holy-trinity-trinityville-st-thomas,17.96022,-76.52082
St. Thomas,Whitehall,St. Boniface's,church,active,0,YES,st-boniface-whitehall-st-thomas,17.95424,-76.44856
